SYMC UW Equity
SYY UN Equity
T UN Equity
TAP UN Equity
TDC UN Equity
TDG UN Equity
TEL UN Equity
TGNA UN Equity
TGT UN Equity
TIF UN Equity
TJX UN Equity
TMK UN Equity
TMO UN Equity
TRIP UW Equity
TROW UW Equity
TRV UN Equity
TSCO UW Equity
TSN UN Equity
TSO UN Equity
TSS UN Equity
TWX UN Equity
TXN UW Equity
TXT UN Equity
UA UN Equity
UAA UN Equity
UAL UN Equity
UDR UN Equity
UHS UN Equity
ULTA UW Equity
UNH UN Equity
UNM UN Equity
UNP UN Equity
UPS UN Equity
URI UN Equity
USB UN Equity
UTX UN Equity
V UN Equity
VAR UN Equity
VFC UN Equity
VIAB UW Equity
VLO UN Equity
VMC UN Equity
VNO UN Equity
VRSK UW Equity
VRSN UW Equity
VRTX UW Equity
VTR UN Equity
VZ UN Equity
WAT UN Equity
WBA UW Equity
WDC UW Equity
WEC UN Equity
WFC UN Equity
WFM UW Equity
WHR UN Equity
WLTW UW Equity
WM UN Equity
WMB UN Equity
WMT UN Equity
WRK UN Equity
WU UN Equity
WY UN Equity
WYN UN Equity
WYNN UW Equity
XEC UN Equity
XEL UN Equity
XL UN Equity
XLNX UW Equity
XOM UN Equity
XRAY UW Equity
XRX UN Equity
XYL UN Equity
YHOO UW Equity
YUM UN Equity
ZBH UN Equity
ZION UW Equity
ZTS UN Equity
